,bigram,frequency
0,"'protectors', 'kronos'",60
1,"'police', 'force'",36
2,"'elian', 'karel'",35
3,"'henk', 'bodrogi'",31
4,"'government', 'kronos'",30
5,"'minister', 'health'",27
6,"'years', 'old'",23
7,"'sten', 'sanjorge'",22
8,"'gas', 'drilling'",22
9,"'kronos', 'government'",21
10,"'juliana', 'vann'",21
11,"'vann', 'died'",20
12,"'activist', 'group'",19
13,"'abila', 'police'",18
14,"'tiskele', 'bend'",17
15,"'karel', 'died'",17
16,"'leader', 'protectors'",16
17,"'government', 'officials'",16
18,"'died', 'cancer'",16
19,"'cancer', 'caused'",16
20,"'guards', 'kronos'",16
21,"'michale', 'kraft'",15
22,"'oil', 'gas'",14
23,"'health', 'cesare'",14
24,"'civil', 'servants'",14
25,"'citizens', 'kronos'",13
26,"'taxes', 'foreign'",13
27,"'old', 'juliana'",13
28,"'cause', 'death'",13
29,"'death', 'karel'",13
30,"'gastech', 'employees'",13
31,"'residents', 'elodis'",12
32,"'increase', 'taxes'",12
33,"'cesare', 'nespola'",12
34,"'group', 'protectors'",12
35,"'leader', 'elian'",12
36,"'answer', 'questions'",12
37,"'ten', 'years'",12
38,"'river', 'tiskele'",12
39,"'federal', 'police'",11
40,"'alarming', 'influence'",11
41,"'influence', 'multinational'",11
42,"'gastech', 'international'",11
43,"'published', 'update'",11
44,"'old', 'girl'",11
45,"'pok', 'leader'",11
46,"'police', 'station'",11
47,"'years', 'ago'",11
48,"'homeland', 'illumination'",11
49,"'civils', 'servant'",11
