word,frequency
Kronos,368
Elodis,247
GAStech,194
Karel,188
government,184
POK,159
water,148
police,144
Elian,121
years,120
Abila,119
death,117
health,117
died,108
gas,99
one,98
would,90
people,88
Juliana,79
citizens,74
Protectors,72
time,71
year,67
Bodrogi,67
Sanjorge,66
Tiskele,65
bring,62
old,59
city,59
group,58
public,57
company,56
family,55
force,55
officials,54
caused,53
last,52
Vann,52
residents,51
several,51
said,50
including,47
two,46
today,46
members,45
Henk,44
asked,43
yesterday,42
foreign,42
Reese,42
