,trigram,frequency
0,"'juliana', 'vann', 'died'",16
1,"'died', 'cancer', 'caused'",16
2,"'health', 'cesare', 'nespola'",12
3,"'activist', 'group', 'protectors'",12
4,"'group', 'protectors', 'kronos'",12
5,"'alarming', 'influence', 'multinational'",11
6,"'vann', 'died', 'cancer'",11
7,"'minister', 'health', 'cesare'",11
8,"'leader', 'elian', 'karel'",11
9,"'elian', 'karel', 'died'",11
10,"'cancer', 'caused', 'benzene'",10
11,"'increase', 'taxes', 'foreign'",10
12,"'declined', 'answer', 'questions'",10
13,"'ten', 'years', 'old'",9
14,"'growing', 'problem', 'one'",8
15,"'influence', 'multinational', 'corporations'",8
16,"'multinational', 'corporations', 'country'",8
17,"'caused', 'gas', 'drilling'",8
18,"'old', 'girl', 'died'",8
19,"'repair', 'broken', 'bodrogi'",7
20,"'elodis', 'community', 'health'",7
21,"'published', 'update', 'wellness'",7
22,"'update', 'wellness', 'study'",7
23,"'cesare', 'nespola', 'announced'",7
24,"'gas', 'drilling', 'operations'",7
25,"'found', 'water', 'including'",7
26,"'outside', 'police', 'station'",7
27,"'michale', 'kraft', 'made'",7
28,"'ceo', 'sten', 'sanjorge'",7
29,"'correspondent', 'petrus', 'gerhard'",7
30,"'old', 'juliana', 'vann'",7
31,"'leader', 'protectors', 'kronos'",6
32,"'bring', 'foreign', 'investment'",6
33,"'foreign', 'investment', 'kronos'",6
34,"'smaller', 'number', 'families'",6
35,"'street', 'two', 'two'",6
36,"'families', 'lived', 'elodis'",6
37,"'would', 'poison', 'children'",6
38,"'kronos', 'government', 'officials'",6
39,"'leader', 'henk', 'bodrogi'",6
40,"'minister', 'health', 'discuss'",6
41,"'health', 'discuss', 'resolutions'",6
42,"'age', 'died', 'friday'",6
43,"'office', 'minister', 'justice'",6
44,"'minister', 'justice', 'office'",6
45,"'members', 'activist', 'group'",6
46,"'pok', 'leader', 'elian'",6
47,"'water', 'caused', 'gas'",6
48,"'elodis', 'people', 'kronos'",6
49,"'karel', 'would', 'treated'",6
