CSV File 1,CSV File 2,Match
The_tethys_news_newsarticle.csv,Daily_Pegasus_newsArticle.csv,No
The_tethys_news_newsarticle.csv,Everyday_news_newsarticle.csv,No
The_tethys_news_newsarticle.csv,International_Times_Newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Abila_Post_Newsarticle.csv,No
The_tethys_news_newsarticle.csv,WorldSource_newsarticle.csv,No
The_tethys_news_newsarticle.csv,Homeland_Illumination_newsArticle.csv,No
The_tethys_news_newsarticle.csv,Modern_Rubicon_NewsArticle.csv,Yes
The_tethys_news_newsarticle.csv,Kronos_Star_newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Continent_newsarticle.csv,No
The_tethys_news_newsarticle.csv,International_news_newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Explainer_newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_World_Newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Tulip_NewsArticle.csv,No
The_tethys_news_newsarticle.csv,World_Journal_NewsArticle.csv,No
The_tethys_news_newsarticle.csv,The_Wrap_NewsArticle.csv,No
The_tethys_news_newsarticle.csv,The_light_of_truth_newsarticle.csv,No
The_tethys_news_newsarticle.csv,News_Desk_newsarticle.csv,No
The_tethys_news_newsarticle.csv,News_online_today_newsarticle.csv,No
The_tethys_news_newsarticle.csv,Worldwise_NewsArticle.csv,No
The_tethys_news_newsarticle.csv,The_orb_newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Guide_Newsarticle.csv,No
The_tethys_news_newsarticle.csv,Who_What_news_NewsArticle.csv,No
The_tethys_news_newsarticle.csv,The_General_Post_newsarticle.csv,No
The_tethys_news_newsarticle.csv,The_Truth_Newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,Everyday_news_newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,International_Times_Newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,The_Abila_Post_Newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,WorldSource_newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,Homeland_Illumination_newsArticle.csv,Yes
Daily_Pegasus_newsArticle.csv,Modern_Rubicon_NewsArticle.csv,No
Daily_Pegasus_newsArticle.csv,Kronos_Star_newsarticle.csv,No
Daily_Pegasus_newsArticle.csv,The_Continent_newsarticle.csv,No
