,bigram,frequency
0,"'government', 'kronos'",38
1,"'gastech', 'international'",38
2,"'sten', 'sanjorge'",34
3,"'international', 'gastech'",31
4,"'gastech', 'kronos'",27
5,"'ceo', 'sten'",21
6,"'president', 'ceo'",18
7,"'sanjorge', 'jr'",12
8,"'hank', 'fluss'",10
9,"'rebecca', 'cato'",10
10,"'high', 'probability'",10
11,"'international', 'president'",9
12,"'always', 'champion'",9
13,"'person', 'willing'",9
14,"'must', 'make'",8
15,"'protectors', 'kronos'",8
16,"'curve', 'tiskele'",8
17,"'ceo', 'gastech'",8
18,"'due', 'high'",8
19,"'tiskele', 'bend'",8
20,"'gastech', 'government'",7
21,"'survived', 'wife'",7
22,"'registered', 'offices'",7
23,"'gastech', 'employees'",7
24,"'international', 'employees'",6
25,"'site', 'curve'",6
26,"'gas', 'fields'",6
27,"'outside', 'capital'",6
28,"'employees', 'gastech'",6
29,"'natural', 'gas'",6
30,"'tethys', 'president'",6
31,"'kronos', 'gastech'",6
32,"'blue', 'flame'",6
33,"'guards', 'kronos'",6
34,"'new', 'logo'",6
35,"'kronos', 'government'",6
36,"'long', 'day'",5
37,"'fourteen', 'gastech'",5
38,"'speculation', 'includes'",5
39,"'president', 'gastech'",5
40,"'motivation', 'behind'",5
41,"'recent', 'gastech'",5
42,"'edvard', 'gastech'",5
43,"'another', 'flag'",5
44,"'flag', 'planted'",5
45,"'planted', 'foreign'",5
46,"'great', 'day'",5
47,"'cleaner', 'fuel'",5
48,"'international', 'sten'",5
49,"'founded', 'sten'",5
