,trigram,frequency
0,"'president', 'ceo', 'sten'",12
1,"'ceo', 'sten', 'sanjorge'",11
2,"'due', 'high', 'probability'",8
3,"'international', 'gastech', 'government'",6
4,"'international', 'president', 'ceo'",6
5,"'another', 'flag', 'planted'",5
6,"'flag', 'planted', 'foreign'",5
7,"'ceo', 'gastech', 'international'",5
8,"'gastech', 'international', 'sten'",5
9,"'event', 'could', 'hardly'",5
10,"'could', 'hardly', 'described'",5
11,"'gastech', 'government', 'kronos'",5
12,"'tethys', 'president', 'emeritus'",5
13,"'ingrid', 'sanjorge', 'son'",5
14,"'sanjorge', 'son', 'sten'",5
15,"'abila', 'must', 'make'",5
16,"'protest', 'others', 'around'",5
17,"'others', 'around', 'capital'",5
18,"'europe', 'united', 'states'",5
19,"'high', 'probability', 'water'",5
20,"'confirmed', 'fourteen', 'gastech'",4
21,"'sten', 'sanjorge', 'target'",4
22,"'motivation', 'behind', 'kidnapping'",4
23,"'behind', 'kidnapping', 'also'",4
24,"'transitioning', 'main', 'office'",4
25,"'site', 'curve', 'tiskele'",4
26,"'cleaner', 'fuel', 'provided'",4
27,"'fuel', 'provided', 'gastech'",4
28,"'live', 'lives', 'heels'",4
29,"'sten', 'sanjorge', 'jr'",4
30,"'add', 'another', 'description'",4
31,"'million', 'cubic', 'meters'",4
32,"'woke', 'rebecca', 'cato'",4
33,"'fire', 'lasted', 'around'",4
34,"'downplayed', 'event', 'event'",4
35,"'event', 'event', 'could'",4
36,"'another', 'year', 'superior'",4
37,"'year', 'superior', 'financial'",4
38,"'international', 'gastech', 'international'",4
39,"'gastech', 'international', 'gastech'",4
40,"'founded', 'company', 'addition'",4
41,"'always', 'champion', 'children'",4
42,"'champion', 'children', 'said'",4
43,"'survived', 'wife', 'ingrid'",4
44,"'wife', 'ingrid', 'sanjorge'",4
45,"'great', 'light', 'world'",4
46,"'international', 'company', 'growing'",4
47,"'always', 'champion', 'environmental'",4
48,"'increasing', 'depth', 'port'",4
49,"'capacity', 'open', 'doors'",4
