,trigram,frequency
0,"'time', 'hrs', 'accused'",22
1,"'spokesman', 'rufus', 'drymiau'",12
2,"'tiskele', 'bend', 'site'",10
3,"'possession', 'controlled', 'substance'",10
4,"'spokesman', 'adrien', 'carman'",9
5,"'dorel', 'kapelou', 'ii'",8
6,"'hrs', 'accused', 'theft'",8
7,"'government', 'spokesman', 'rufus'",7
8,"'democratic', 'party', 'kronos'",6
9,"'police', 'spokesman', 'adrien'",6
10,"'kronos', 'security', 'guard'",5
11,"'gastech', 'employees', 'still'",5
12,"'people', 'elodis', 'government'",5
13,"'government', 'kronos', 'gastech'",5
14,"'government', 'kronos', 'pok'",5
15,"'high', 'levels', 'toluene'",5
16,"'levels', 'toluene', 'xylene'",5
17,"'toluene', 'xylene', 'lead'",5
18,"'recent', 'initial', 'public'",5
19,"'president', 'ceo', 'sten'",5
20,"'rufus', 'drymiau', 'government'",5
21,"'drug', 'related', 'arrests'",5
22,"'update', 'abila', 'police'",5
23,"'site', 'curve', 'tiskele'",5
24,"'protests', 'turned', 'violent'",4
25,"'employee', 'edvard', 'vann'",4
26,"'members', 'terrorist', 'group'",4
27,"'born', 'abila', 'support'",4
28,"'abila', 'support', 'government'",4
29,"'support', 'government', 'accused'",4
30,"'west', 'abila', 'small'",4
31,"'abila', 'small', 'rural'",4
32,"'government', 'kronos', 'denied'",4
33,"'site', 'source', 'contamination'",4
34,"'gastech', 'kronos', 'leadership'",4
35,"'kronos', 'including', 'production'",4
36,"'bring', 'attention', 'clean'",4
37,"'elodis', 'government', 'kronos'",4
38,"'water', 'well', 'destruction'",4
39,"'well', 'destruction', 'traditional'",4
40,"'radical', 'violent', 'activist'",4
41,"'government', 'kronos', 'labeled'",4
42,"'president', 'kapelou', 'ii'",4
43,"'kapelou', 'ii', 'democratic'",4
44,"'ii', 'democratic', 'party'",4
45,"'ren', 'touvi', 'organization'",4
46,"'organization', 'business', 'unions'",4
47,"'business', 'unions', 'party'",4
48,"'seats', 'general', 'organization'",4
49,"'water', 'elodis', 'finding'",4
