word,frequency
Kronos,244
GAStech,228
government,155
POK,103
Abila,74
group,70
people,62
Elodis,60
around,57
international,54
police,49
Government,44
water,41
employees,41
Karel,38
violent,37
WFA,37
public,36
contamination,35
Tiskele,35
site,34
Kapelou,34
gas,33
two,33
activist,32
Protectors,31
security,31
headquarters,31
Elian,31
time,29
UPDATE,29
recent,27
officials,27
President,27
including,26
investigation,26
meeting,26
fire,26
declaration,26
protests,25
protesters,25
spokesman,25
International,24
members,24
threat,24
well,24
missing,24
died,24
Sanjorge,24
statement,23
