,bigram,frequency
0,"'government', 'kronos'",37
1,"'protectors', 'kronos'",36
2,"'gastech', 'kronos'",28
3,"'gastech', 'international'",24
4,"'gastech', 'employees'",22
5,"'time', 'hrs'",22
6,"'hrs', 'accused'",22
7,"'kronos', 'government'",20
8,"'tiskele', 'bend'",15
9,"'people', 'kronos'",13
10,"'ceo', 'sten'",13
11,"'civil', 'servants'",13
12,"'spokesman', 'rufus'",12
13,"'rufus', 'drymiau'",12
14,"'dorel', 'kapelou'",12
15,"'kapelou', 'ii'",12
16,"'controlled', 'substance'",12
17,"'abila', 'police'",12
18,"'police', 'force'",12
19,"'government', 'gastech'",11
20,"'government', 'officials'",11
21,"'guards', 'kronos'",11
22,"'bend', 'site'",10
23,"'possession', 'controlled'",10
24,"'elodis', 'government'",9
25,"'kronos', 'pok'",9
26,"'spokesman', 'adrien'",9
27,"'adrien', 'carman'",9
28,"'initial', 'public'",9
29,"'employees', 'gastech'",9
30,"'bring', 'attention'",8
31,"'natural', 'gas'",8
32,"'violent', 'activist'",8
33,"'democratic', 'party'",8
34,"'party', 'kronos'",8
35,"'around', 'abila'",8
36,"'accused', 'theft'",8
37,"'elian', 'karel'",8
38,"'headquarters', 'gastech'",8
39,"'drug', 'related'",8
40,"'government', 'spokesman'",7
41,"'kronos', 'gastech'",7
42,"'government', 'reception'",7
43,"'violent', 'activities'",7
44,"'death', 'elian'",7
45,"'activist', 'group'",7
46,"'recent', 'initial'",7
47,"'update', 'abila'",7
48,"'site', 'curve'",7
49,"'public', 'threat'",6
